name,dataset,n_params,time,epoch,test_loss,correct,accuracy,date
stcoordconv,mnist,34140,4,1,0.5311679521560669,4328,0.8656,2021-12-05 19:35:54
stcoordconv,mnist,34140,10,2,0.34340567712783815,4480,0.896,2021-12-05 19:35:54
stcoordconv,mnist,34140,15,3,0.1350115070581436,4792,0.9584,2021-12-05 19:35:54
stcoordconv,mnist,34140,21,4,0.11130509977340698,4831,0.9662,2021-12-05 19:35:54
stcoordconv,mnist,34140,26,5,0.10904441390037536,4832,0.9664,2021-12-05 19:35:54
stcoordconv,mnist,34140,32,6,0.09064250763654709,4865,0.973,2021-12-05 19:35:54
stcoordconv,mnist,34140,37,7,0.07503836102485657,4876,0.9752,2021-12-05 19:35:54
stcoordconv,mnist,34140,42,8,0.0683022998213768,4889,0.9778,2021-12-05 19:35:54
stcoordconv,mnist,34140,48,9,0.08425010946989059,4875,0.975,2021-12-05 19:35:54
stcoordconv,mnist,34140,54,10,0.06870499770045281,4900,0.98,2021-12-05 19:35:54
stcoordconv,mnist,34140,59,11,0.06634476003050804,4893,0.9786,2021-12-05 19:35:54
stcoordconv,mnist,34140,65,12,0.10323702317476273,4850,0.97,2021-12-05 19:35:54
stcoordconv,mnist,34140,70,13,0.11707841631174087,4826,0.9652,2021-12-05 19:35:54
stcoordconv,mnist,34140,75,14,0.06420966701209545,4899,0.9798,2021-12-05 19:35:54
stcoordconv,mnist,34140,81,15,0.055576974879205224,4910,0.982,2021-12-05 19:35:54
stcoordconv,mnist,34140,86,16,0.052896285304427144,4923,0.9846,2021-12-05 19:35:54
stcoordconv,mnist,34140,92,17,0.05190830716192722,4921,0.9842,2021-12-05 19:35:54
stcoordconv,mnist,34140,97,18,0.050012836953997615,4930,0.986,2021-12-05 19:35:54
stcoordconv,mnist,34140,103,19,0.08157951747179032,4878,0.9756,2021-12-05 19:35:54
stcoordconv,mnist,34140,108,20,0.04808245925307274,4921,0.9842,2021-12-05 19:35:54
