name,dataset,n_params,time,epoch,test_loss,correct,accuracy,date
coordconv,fashion-mnist,28620,3,1,0.7939527785301208,3559,0.7118,2021-12-05 20:47:55
coordconv,fashion-mnist,28620,6,2,0.6630044914245605,3759,0.7518,2021-12-05 20:47:55
coordconv,fashion-mnist,28620,10,3,0.6182106536865234,3824,0.7648,2021-12-05 20:47:55
coordconv,fashion-mnist,28620,13,4,0.5852311007976532,3861,0.7722,2021-12-05 20:47:55
coordconv,fashion-mnist,28620,16,5,0.5461337123394012,3929,0.7858,2021-12-05 20:47:55
coordconv,fashion-mnist,28620,20,6,0.5287673562049866,3979,0.7958,2021-12-05 20:47:55
coordconv,fashion-mnist,28620,23,7,0.5169389587879181,3968,0.7936,2021-12-05 20:47:55
coordconv,fashion-mnist,28620,27,8,0.5001638786792755,4020,0.804,2021-12-05 20:47:55
coordconv,fashion-mnist,28620,30,9,0.4938868529319763,4058,0.8116,2021-12-05 20:47:55
coordconv,fashion-mnist,28620,34,10,0.4753637641429901,4092,0.8184,2021-12-05 20:47:55
coordconv,fashion-mnist,28620,37,11,0.4676427103996277,4121,0.8242,2021-12-05 20:47:55
coordconv,fashion-mnist,28620,41,12,0.45245530767440795,4182,0.8364,2021-12-05 20:47:55
coordconv,fashion-mnist,28620,45,13,0.44686663217544553,4157,0.8314,2021-12-05 20:47:55
coordconv,fashion-mnist,28620,49,14,0.44203820371627806,4183,0.8366,2021-12-05 20:47:55
coordconv,fashion-mnist,28620,53,15,0.427836815738678,4209,0.8418,2021-12-05 20:47:55
coordconv,fashion-mnist,28620,57,16,0.42165695271492004,4227,0.8454,2021-12-05 20:47:55
coordconv,fashion-mnist,28620,60,17,0.42030064582824705,4242,0.8484,2021-12-05 20:47:55
coordconv,fashion-mnist,28620,64,18,0.41040836930274965,4255,0.851,2021-12-05 20:47:55
coordconv,fashion-mnist,28620,68,19,0.40074332871437074,4280,0.856,2021-12-05 20:47:55
coordconv,fashion-mnist,28620,73,20,0.4009673316478729,4259,0.8518,2021-12-05 20:47:55
coordconv,fashion-mnist,28620,77,21,0.39729768409729005,4271,0.8542,2021-12-05 20:47:55
coordconv,fashion-mnist,28620,82,22,0.3921259307384491,4307,0.8614,2021-12-05 20:47:55
coordconv,fashion-mnist,28620,87,23,0.3827788119792938,4313,0.8626,2021-12-05 20:47:55
coordconv,fashion-mnist,28620,91,24,0.37837034244537354,4312,0.8624,2021-12-05 20:47:55
coordconv,fashion-mnist,28620,96,25,0.3765283941268921,4330,0.866,2021-12-05 20:47:55
coordconv,fashion-mnist,28620,100,26,0.37425836358070375,4344,0.8688,2021-12-05 20:47:55
coordconv,fashion-mnist,28620,105,27,0.37174173460006715,4324,0.8648,2021-12-05 20:47:55
coordconv,fashion-mnist,28620,110,28,0.3701454329967499,4319,0.8638,2021-12-05 20:47:55
coordconv,fashion-mnist,28620,114,29,0.36163711438179014,4347,0.8694,2021-12-05 20:47:55
coordconv,fashion-mnist,28620,119,30,0.36681194443702697,4348,0.8696,2021-12-05 20:47:55
