name,dataset,n_params,time,epoch,test_loss,correct,accuracy,date
stnet,mnist,27360,3,1,0.42463527822494507,4499,0.8998,2021-12-05 16:42:20
stnet,mnist,27360,7,2,0.24087017550468445,4639,0.9278,2021-12-05 16:42:20
stnet,mnist,27360,12,3,0.13253366349637508,4791,0.9582,2021-12-05 16:42:20
stnet,mnist,27360,16,4,0.2532618543896824,4618,0.9236,2021-12-05 16:42:20
stnet,mnist,27360,20,5,0.08824983438961208,4878,0.9756,2021-12-05 16:42:20
stnet,mnist,27360,24,6,0.07828826200962066,4881,0.9762,2021-12-05 16:42:20
stnet,mnist,27360,29,7,0.08574259298965335,4868,0.9736,2021-12-05 16:42:20
stnet,mnist,27360,33,8,0.06189524001479149,4899,0.9798,2021-12-05 16:42:20
stnet,mnist,27360,37,9,0.058646302838250994,4903,0.9806,2021-12-05 16:42:20
stnet,mnist,27360,42,10,0.0834906410716474,4885,0.977,2021-12-05 16:42:20
stnet,mnist,27360,46,11,0.05057079096643138,4916,0.9832,2021-12-05 16:42:20
stnet,mnist,27360,50,12,0.06084755581617356,4902,0.9804,2021-12-05 16:42:20
stnet,mnist,27360,55,13,0.055950026538968085,4909,0.9818,2021-12-05 16:42:20
stnet,mnist,27360,59,14,0.07274189431611448,4889,0.9778,2021-12-05 16:42:20
stnet,mnist,27360,63,15,0.04805464789569378,4924,0.9848,2021-12-05 16:42:20
stnet,mnist,27360,67,16,0.039645768857747316,4932,0.9864,2021-12-05 16:42:20
stnet,mnist,27360,71,17,0.07614002385577187,4885,0.977,2021-12-05 16:42:20
stnet,mnist,27360,76,18,0.06203389233052731,4902,0.9804,2021-12-05 16:42:20
stnet,mnist,27360,80,19,0.04140528735918924,4931,0.9862,2021-12-05 16:42:20
stnet,mnist,27360,84,20,0.041748576380638405,4936,0.9872,2021-12-05 16:42:20
