name,dataset,n_params,time,epoch,test_loss,correct,accuracy,date
stcoordconv,mnist,34140,5,1,0.7270077208518982,4292,0.8584,2021-12-05 19:43:41
stcoordconv,mnist,34140,10,2,0.2342078007221222,4654,0.9308,2021-12-05 19:43:41
stcoordconv,mnist,34140,16,3,0.15101818680763246,4762,0.9524,2021-12-05 19:43:41
stcoordconv,mnist,34140,22,4,0.11655204856395722,4829,0.9658,2021-12-05 19:43:41
stcoordconv,mnist,34140,28,5,0.1314203938126564,4806,0.9612,2021-12-05 19:43:41
stcoordconv,mnist,34140,33,6,0.0835085446715355,4868,0.9736,2021-12-05 19:43:41
stcoordconv,mnist,34140,39,7,0.08644728990793228,4860,0.972,2021-12-05 19:43:41
stcoordconv,mnist,34140,44,8,0.07263690950870513,4877,0.9754,2021-12-05 19:43:41
stcoordconv,mnist,34140,50,9,0.06484894698262214,4903,0.9806,2021-12-05 19:43:41
stcoordconv,mnist,34140,55,10,0.059453744246065615,4908,0.9816,2021-12-05 19:43:41
stcoordconv,mnist,34140,61,11,0.06347445837706328,4900,0.98,2021-12-05 19:43:41
stcoordconv,mnist,34140,66,12,0.06136516059041023,4900,0.98,2021-12-05 19:43:41
stcoordconv,mnist,34140,72,13,0.057236168359220026,4904,0.9808,2021-12-05 19:43:41
stcoordconv,mnist,34140,77,14,0.05791846858859062,4905,0.981,2021-12-05 19:43:41
stcoordconv,mnist,34140,83,15,0.053886032350361344,4916,0.9832,2021-12-05 19:43:41
stcoordconv,mnist,34140,88,16,0.04398986287713051,4929,0.9858,2021-12-05 19:43:41
stcoordconv,mnist,34140,94,17,0.05445546975582838,4924,0.9848,2021-12-05 19:43:41
stcoordconv,mnist,34140,99,18,0.051759299840778115,4917,0.9834,2021-12-05 19:43:41
stcoordconv,mnist,34140,105,19,0.057465044444799426,4911,0.9822,2021-12-05 19:43:41
stcoordconv,mnist,34140,111,20,0.0651836398690939,4912,0.9824,2021-12-05 19:43:41
