name,dataset,n_params,time,epoch,test_loss,correct,accuracy,date
convnet,mnist,21840,2,1,0.41431460380554197,4544,0.9088,2021-12-05 16:30:06
convnet,mnist,21840,5,2,0.22271360502243043,4691,0.9382,2021-12-05 16:30:06
convnet,mnist,21840,8,3,0.1657408028304577,4757,0.9514,2021-12-05 16:30:06
convnet,mnist,21840,10,4,0.13819283521175385,4793,0.9586,2021-12-05 16:30:06
convnet,mnist,21840,13,5,0.11957189273387193,4826,0.9652,2021-12-05 16:30:06
convnet,mnist,21840,16,6,0.10848218791484833,4841,0.9682,2021-12-05 16:30:06
convnet,mnist,21840,19,7,0.09921575832366944,4860,0.972,2021-12-05 16:30:06
convnet,mnist,21840,22,8,0.09034120288938284,4863,0.9726,2021-12-05 16:30:06
convnet,mnist,21840,24,9,0.0875161679148674,4877,0.9754,2021-12-05 16:30:06
convnet,mnist,21840,27,10,0.08092142874002457,4876,0.9752,2021-12-05 16:30:06
convnet,mnist,21840,30,11,0.07652730809748173,4884,0.9768,2021-12-05 16:30:06
convnet,mnist,21840,33,12,0.07235476736426354,4890,0.978,2021-12-05 16:30:06
convnet,mnist,21840,35,13,0.06823924569934607,4900,0.98,2021-12-05 16:30:06
convnet,mnist,21840,38,14,0.06696514747142791,4901,0.9802,2021-12-05 16:30:06
convnet,mnist,21840,41,15,0.06402742908596992,4905,0.981,2021-12-05 16:30:06
convnet,mnist,21840,45,16,0.06165908647289034,4908,0.9816,2021-12-05 16:30:06
convnet,mnist,21840,48,17,0.05949866162613034,4909,0.9818,2021-12-05 16:30:06
convnet,mnist,21840,50,18,0.0571965412914753,4912,0.9824,2021-12-05 16:30:06
convnet,mnist,21840,54,19,0.0544095478091389,4912,0.9824,2021-12-05 16:30:06
convnet,mnist,21840,56,20,0.053975555337220434,4922,0.9844,2021-12-05 16:30:06
