name,dataset,n_params,time,epoch,test_loss,correct,accuracy,date
stnet,fashion-mnist,27360,3,1,0.7500297474861145,3660,0.732,2021-12-05 20:50:37
stnet,fashion-mnist,27360,7,2,0.626374683189392,3809,0.7618,2021-12-05 20:50:37
stnet,fashion-mnist,27360,11,3,0.5466100962162018,3979,0.7958,2021-12-05 20:50:37
stnet,fashion-mnist,27360,15,4,0.5213313950538635,4047,0.8094,2021-12-05 20:50:37
stnet,fashion-mnist,27360,19,5,0.5536643292427063,4015,0.803,2021-12-05 20:50:37
stnet,fashion-mnist,27360,23,6,0.4684848767280579,4172,0.8344,2021-12-05 20:50:37
stnet,fashion-mnist,27360,27,7,0.46824554753303527,4158,0.8316,2021-12-05 20:50:37
stnet,fashion-mnist,27360,32,8,0.5111791212558746,4099,0.8198,2021-12-05 20:50:37
stnet,fashion-mnist,27360,36,9,0.4498584719181061,4210,0.842,2021-12-05 20:50:37
stnet,fashion-mnist,27360,41,10,0.4324985298633575,4239,0.8478,2021-12-05 20:50:37
stnet,fashion-mnist,27360,45,11,0.43408665175437927,4229,0.8458,2021-12-05 20:50:37
stnet,fashion-mnist,27360,49,12,0.4252232494831085,4236,0.8472,2021-12-05 20:50:37
stnet,fashion-mnist,27360,54,13,0.42116658253669736,4268,0.8536,2021-12-05 20:50:37
stnet,fashion-mnist,27360,58,14,0.4155173298835754,4237,0.8474,2021-12-05 20:50:37
stnet,fashion-mnist,27360,63,15,0.4002946653842926,4289,0.8578,2021-12-05 20:50:37
stnet,fashion-mnist,27360,67,16,0.4014619947910309,4271,0.8542,2021-12-05 20:50:37
stnet,fashion-mnist,27360,72,17,0.38067733101844786,4308,0.8616,2021-12-05 20:50:37
stnet,fashion-mnist,27360,76,18,0.3876699403762817,4313,0.8626,2021-12-05 20:50:37
stnet,fashion-mnist,27360,81,19,0.4028815460205078,4304,0.8608,2021-12-05 20:50:37
stnet,fashion-mnist,27360,85,20,0.3965434151649475,4283,0.8566,2021-12-05 20:50:37
stnet,fashion-mnist,27360,89,21,0.39414030656814575,4315,0.863,2021-12-05 20:50:37
stnet,fashion-mnist,27360,94,22,0.37457610201835634,4342,0.8684,2021-12-05 20:50:37
stnet,fashion-mnist,27360,98,23,0.3760059426307678,4329,0.8658,2021-12-05 20:50:37
stnet,fashion-mnist,27360,103,24,0.37938117995262144,4326,0.8652,2021-12-05 20:50:37
stnet,fashion-mnist,27360,107,25,0.39532467002868654,4319,0.8638,2021-12-05 20:50:37
stnet,fashion-mnist,27360,112,26,0.3663135377407074,4357,0.8714,2021-12-05 20:50:37
stnet,fashion-mnist,27360,116,27,0.3682367232322693,4339,0.8678,2021-12-05 20:50:37
stnet,fashion-mnist,27360,121,28,0.36267246084213256,4352,0.8704,2021-12-05 20:50:37
stnet,fashion-mnist,27360,126,29,0.3652060130119324,4345,0.869,2021-12-05 20:50:37
stnet,fashion-mnist,27360,130,30,0.3769047348976135,4346,0.8692,2021-12-05 20:50:37
