name,dataset,n_params,time,epoch,test_loss,correct,accuracy,date
stcoordconv,mnist,34140,4,1,0.7818494491577148,3972,0.7944,2021-12-05 19:29:56
stcoordconv,mnist,34140,9,2,0.26471341202259063,4626,0.9252,2021-12-05 19:29:56
stcoordconv,mnist,34140,14,3,0.1605744217634201,4761,0.9522,2021-12-05 19:29:56
stcoordconv,mnist,34140,19,4,0.1251064857006073,4822,0.9644,2021-12-05 19:29:56
stcoordconv,mnist,34140,25,5,0.10491410185694694,4842,0.9684,2021-12-05 19:29:56
stcoordconv,mnist,34140,31,6,0.09369899690151215,4865,0.973,2021-12-05 19:29:56
stcoordconv,mnist,34140,36,7,0.08507639878094196,4881,0.9762,2021-12-05 19:29:56
stcoordconv,mnist,34140,42,8,0.07638014912307263,4889,0.9778,2021-12-05 19:29:56
stcoordconv,mnist,34140,48,9,0.08345641769766808,4882,0.9764,2021-12-05 19:29:56
stcoordconv,mnist,34140,54,10,0.06647930985838175,4892,0.9784,2021-12-05 19:29:56
stcoordconv,mnist,34140,59,11,0.1309131549358368,4819,0.9638,2021-12-05 19:29:56
stcoordconv,mnist,34140,65,12,0.06587427327632904,4907,0.9814,2021-12-05 19:29:56
stcoordconv,mnist,34140,70,13,0.06023486112654209,4913,0.9826,2021-12-05 19:29:56
stcoordconv,mnist,34140,76,14,0.06282881966531277,4906,0.9812,2021-12-05 19:29:56
stcoordconv,mnist,34140,81,15,0.05555521648526192,4913,0.9826,2021-12-05 19:29:56
stcoordconv,mnist,34140,87,16,0.058529884247481824,4920,0.984,2021-12-05 19:29:56
stcoordconv,mnist,34140,92,17,0.05411089093089104,4921,0.9842,2021-12-05 19:29:56
stcoordconv,mnist,34140,98,18,0.058613374034315345,4914,0.9828,2021-12-05 19:29:56
stcoordconv,mnist,34140,103,19,0.05125884338542819,4923,0.9846,2021-12-05 19:29:56
stcoordconv,mnist,34140,109,20,0.051236856189370156,4917,0.9834,2021-12-05 19:29:56
